founded_year,headquarters,id,industry,name,size
2007,Lake Curtis,CMP-0,Tech,"Rodriguez, Figueroa and Sanchez",1-50
2001,Lake Jeremyport,CMP-1,Finance,Ray-Bush,1000+
2007,Kaylamouth,CMP-2,Retail,"Valencia, Smith and Le",201-500
2005,North Sarahport,CMP-3,Energy,George Group,501-1000
2005,Sanchezfort,CMP-4,Retail,Ryan Ltd,1000+
2021,North Susan,CMP-5,Tech,"Edwards, Williams and Woods",51-200
2016,Juanborough,CMP-6,Retail,Newton and Sons,201-500
1999,South David,CMP-7,Tech,Gardner LLC,201-500
1993,Kimberlychester,CMP-8,Healthcare,Johnson-Doyle,1000+
2009,Benjaminchester,CMP-9,Energy,White-Estes,1-50
