id,rating,recommends,review_date,review_type,text
REV-3dba6da8-5844-49fc-914b-9547c9dc72b8,2,,2026-08-28,interview_experience,Very disjointed interview process. Recruiter ghosted me for weeks. Would not recommend applying.
REV-dda4f4a7-0c3c-4284-87e5-3bbbdcb51c53,2,,2026-08-28,interview_experience,I had a terrible experience interviewing. Technical questions were completely unrelated to the job. Would not recommend applying.
REV-7227890e-4e76-433a-8baf-0f5ea9320094,2,,2026-08-28,interview_experience,Very disjointed interview process. Technical questions were completely unrelated to the job. Would not recommend applying.
REV-b807d78a-b788-45d1-bfe5-75f665edcfe3,4,,2026-08-28,interview_experience,The interview process was very smooth. Technical questions were fair and relevant. Looking forward to hearing back.
REV-43c07d43-93a7-4792-8561-b8dca4364fcd,1,False,2027-06-08,employee_experience,Working here has been difficult. No clear path for promotion. Avoid at all costs.
REV-dd39d793-6257-44a2-b204-be894a4b5563,2,,2026-08-28,interview_experience,I had a terrible experience interviewing. The interviewer showed up late. Would not recommend applying.
REV-31d4ee09-8fd3-4afc-91fd-fa4f0d18ab95,4,,2026-08-28,interview_experience,Really enjoyed meeting the team. Technical questions were fair and relevant. A very professional experience overall.
REV-30d73df7-1c22-4cea-b355-56a5f2bd92f2,4,,2026-08-28,interview_experience,The interview process was very smooth. Technical questions were fair and relevant. Looking forward to hearing back.
REV-6133a34d-8b0e-4eb1-ad37-1d9e92cf6021,3,,2026-08-28,interview_experience,Standard interview process. Questions were standard Leetcode. We will see what happens.
REV-33c08bf1-8167-499f-a723-ada38c32bdb2,2,,2026-08-28,interview_experience,Very disjointed interview process. The interviewer showed up late. Would not recommend applying.
REV-c40d4874-22ab-4752-84db-5a622e13418d,2,,2026-08-28,interview_experience,Very disjointed interview process. Recruiter ghosted me for weeks. I withdrew my application.
REV-ac09bdb7-9908-4e47-b249-f62c08987462,1,,2026-08-28,interview_experience,The interview process was frustrating. The interviewer showed up late. A huge waste of time.
REV-4ef4c34d-5bf8-4f3c-a612-9a1c889d4b76,3,False,2027-06-18,employee_experience,Average corporate job. Work can be monotonous. I might stay a year or two.
REV-b93b17fb-f76d-45fd-bd16-45a0d253d966,1,,2026-08-28,interview_experience,Very disjointed interview process. Technical questions were completely unrelated to the job. I withdrew my application.
REV-0f79a8a7-5f8a-44bd-b4bd-0c938177b661,2,,2026-08-28,interview_experience,Very disjointed interview process. Recruiter ghosted me for weeks. A huge waste of time.
REV-a75b395a-14a3-4f7f-990d-d19bd3fbe043,2,,2026-08-28,interview_experience,The interview process was frustrating. The interviewer showed up late. I withdrew my application.
REV-d5aba8ae-9112-4bc0-bd8f-95f4905f9096,3,False,2027-05-01,employee_experience,Pays the bills. Work can be monotonous. I might stay a year or two.
REV-bd5a0c9e-277e-40aa-a247-541dc8ad0899,3,False,2026-11-27,employee_experience,"Average corporate job. Benefits are standard. Not bad, but not great."
REV-6f46f1b1-2ace-4aa9-9032-46b3255bfc1c,3,False,2026-11-21,employee_experience,Average corporate job. Benefits are standard. I might stay a year or two.
REV-15fa9483-f633-4c2d-aba9-00e16a7d5d96,5,,2026-08-28,interview_experience,Really enjoyed meeting the team. The recruiters were responsive. Looking forward to hearing back.
REV-59c2f153-b06b-4f0c-9682-2e22bcd4344f,1,,2026-08-28,interview_experience,Very disjointed interview process. Recruiter ghosted me for weeks. I withdrew my application.
REV-d8dff535-c62d-4aea-9e70-bd3000a21367,2,False,2026-11-06,employee_experience,Working here has been difficult. No clear path for promotion. Avoid at all costs.
REV-02106371-0260-4123-b1ef-e72aae13591e,1,,2026-08-28,interview_experience,I had a terrible experience interviewing. The interviewer showed up late. I withdrew my application.
REV-45712959-51e7-44e4-b864-ca08ea75752d,4,,2026-08-28,interview_experience,Really enjoyed meeting the team. Technical questions were fair and relevant. Would highly recommend.
REV-cebeabaa-2859-4b34-9725-d2c71eb2a7b8,1,,2026-08-28,interview_experience,I had a terrible experience interviewing. Recruiter ghosted me for weeks. A huge waste of time.
REV-d259f960-6ee3-4607-92ea-1324ec93e596,2,,2026-08-28,interview_experience,I had a terrible experience interviewing. Technical questions were completely unrelated to the job. Would not recommend applying.
REV-6fd69b3a-f2dd-4456-bb7b-6c0528522ca2,1,,2026-08-28,interview_experience,I had a terrible experience interviewing. Recruiter ghosted me for weeks. I withdrew my application.
REV-41b455b8-59b9-422c-915a-ffacb173fcdf,5,,2026-08-28,interview_experience,Really enjoyed meeting the team. The recruiters were responsive. Would highly recommend.
REV-925f8199-6495-4d5f-8cb4-e891188df23b,2,,2026-08-28,interview_experience,I had a terrible experience interviewing. The interviewer showed up late. Would not recommend applying.
REV-15f0ea19-18c1-40d2-aadf-3692b24beb96,1,,2026-08-28,interview_experience,I had a terrible experience interviewing. Recruiter ghosted me for weeks. I withdrew my application.
REV-659e0258-814f-4657-b6d7-0561d2d14ef5,1,,2026-08-28,interview_experience,The interview process was frustrating. Recruiter ghosted me for weeks. Would not recommend applying.
REV-8f1cb2cc-ceef-4fa8-b9a5-d4d0423701f1,2,,2026-08-28,interview_experience,The interview process was frustrating. Technical questions were completely unrelated to the job. I withdrew my application.
REV-f1bdb598-948f-464a-9565-257ba267d32f,1,False,2027-05-16,employee_experience,Working here has been difficult. Zero work-life balance. I am actively looking for a new job.
REV-6744cb9e-6ded-4ba5-a22c-3d4f6f07b60f,3,,2026-08-28,interview_experience,Standard interview process. Met with a few team members. Overall an average experience.
REV-2196b3b5-fc21-409b-ba27-bc64396d1ffb,4,,2026-08-28,interview_experience,Really enjoyed meeting the team. The recruiters were responsive. A very professional experience overall.
REV-d4dd1b56-4353-41b2-8728-50c13322c68b,2,,2026-08-28,interview_experience,The interview process was frustrating. Technical questions were completely unrelated to the job. A huge waste of time.
REV-1036ca81-0bc4-47ba-b0d0-ebcb6949ece5,3,False,2027-07-03,employee_experience,"Pays the bills. Benefits are standard. Not bad, but not great."
REV-1744ee3f-d36e-41bd-800b-1f5e8c91bd13,4,,2026-08-28,interview_experience,The interview process was very smooth. The panel was very welcoming. Looking forward to hearing back.
REV-ee22a70b-1ee9-4260-b002-d8313227e8d8,3,False,2027-04-03,employee_experience,"It's an okay place to work. Benefits are standard. Not bad, but not great."
REV-afc5c20e-4a63-4af5-b6e1-e7ac9fc97264,4,,2026-08-28,interview_experience,The interview process was very smooth. The panel was very welcoming. A very professional experience overall.
REV-f9cf8499-c9c1-4d45-b4ea-6b976aa415b5,4,True,2027-02-27,employee_experience,This is a great company. Management really cares about you. I plan to stay here a long time.
REV-95801c3a-2932-4211-a14c-0a4d43a534d2,3,,2026-08-28,interview_experience,The interview was okay. Met with a few team members. We will see what happens.
REV-838e9a61-5200-444b-b148-7df8a6ca8d50,4,,2026-08-28,interview_experience,I had a great time interviewing here. The recruiters were responsive. A very professional experience overall.
REV-40b3af7c-d5b2-41a9-9dec-2b8338858f7e,4,,2026-08-28,interview_experience,I had a great time interviewing here. The recruiters were responsive. A very professional experience overall.
REV-7ade4367-e0bd-402c-94e1-4f3abba41ae0,3,,2026-08-28,interview_experience,Standard interview process. Met with a few team members. We will see what happens.
REV-df482e7c-a8cf-4f62-90d9-170cf2dec75c,5,,2026-08-28,interview_experience,Really enjoyed meeting the team. The panel was very welcoming. Looking forward to hearing back.
REV-40f7924b-7bd7-44bf-8e0e-abb78f20c5e7,3,,2026-08-28,interview_experience,Nothing special about the interview. Met with a few team members. Standard corporate process.
REV-163b5481-284e-4cd4-b9c3-ee050012d399,3,False,2027-04-23,employee_experience,Average corporate job. Benefits are standard. It's just a job.
REV-5a64845e-f498-46ad-a994-bf8450d3ba03,2,,2026-08-28,interview_experience,The interview process was frustrating. The interviewer showed up late. Would not recommend applying.
REV-9cf3137e-f562-437b-b8aa-16ea44f7f01a,3,False,2027-05-26,employee_experience,Average corporate job. Some teams are better than others. I might stay a year or two.
REV-ba4f4b03-2002-4d9f-85e9-f407daada0b1,2,False,2027-02-14,employee_experience,Working here has been difficult. No clear path for promotion. I am actively looking for a new job.
REV-4f32ea54-63cc-4604-a2ae-3f87ee7ca782,1,,2026-08-28,interview_experience,Very disjointed interview process. Recruiter ghosted me for weeks. I withdrew my application.
REV-d0bcbad5-85f8-4d9b-8006-0d5a02b3c948,4,,2026-08-28,interview_experience,The interview process was very smooth. Technical questions were fair and relevant. Looking forward to hearing back.
REV-972a8469-1641-4f82-8b9d-2434e465e150,1,,2024-01-01T12:00:00.000000,interview_experience,I had a terrible experience interviewing. The interviewer showed up late. Would not recommend applying.
REV-06cb0fb3-9a1d-4644-815e-f6d13b8faa18,2,False,2024-01-01T12:00:00.000000,employee_experience,Toxic environment. Management is completely out of touch. Turnover is very high for a reason.
REV-47378190-96da-4dac-b2ff-5d2a386ecbe0,2,,2024-01-01T12:00:00.000000,interview_experience,The interview process was frustrating. The interviewer showed up late. A huge waste of time.
REV-f50bea63-371e-4d7b-a7cd-813047229389,2,False,2024-01-01T12:00:00.000000,employee_experience,I do not recommend this company. Management is completely out of touch. I am actively looking for a new job.
REV-1ff49b78-8946-4e85-b59c-de66bacfb3d0,2,False,2024-01-01T12:00:00.000000,employee_experience,I do not recommend this company. Management is completely out of touch. Turnover is very high for a reason.
